"event","experiment time","system time","system time text"
"START",0.000000000E0,1734509857.864,"2024-12-18 10:17:37.864 UTC+02:00"
"PAUSE",5.046550988E0,1734509862.910,"2024-12-18 10:17:42.910 UTC+02:00"
